month,date,farebox_revenue_hkdm,year,is_covid_period,immd_hsr_passenger_ratio,domestic_service_yield_hkd,domestic_service_rev_hkdm,cross_boundary_yield_hkd,cross_boundary_rev_hkdm,hsr_yield_hkd,hsr_rev_hkdm,airport_express_yield_hkd,airport_express_rev_hkdm,light_rail_bus_yield_hkd,light_rail_bus_rev_hkdm
2000-01,2000-01-01,495.11936641685503,2000,0,,6.6930528337859645,442.23007988674004,26.75381485458245,0.0,124.87841376730266,0.0,61.14368384984391,52.88928653011498,2.4156490106193513,0.0
2000-02,2000-02-01,445.7993088679264,2000,0,,6.6930528337859645,394.1940396986582,26.75381485458245,0.0,124.87841376730266,0.0,61.14368384984391,51.605269169268254,2.4156490106193513,0.0
2000-03,2000-03-01,494.37866400803426,2000,0,,6.6930528337859645,439.5327795947243,26.75381485458245,0.0,124.87841376730266,0.0,61.14368384984391,54.84588441330998,2.4156490106193513,0.0
2000-04,2000-04-01,456.0202079180292,2000,0,,6.6930528337859645,395.793679325933,26.75381485458245,0.0,124.87841376730266,0.0,61.14368384984391,60.22652859209625,2.4156490106193513,0.0
2000-05,2000-05-01,478.4934735833173,2000,0,,6.6930528337859645,425.1761812662534,26.75381485458245,0.0,124.87841376730266,0.0,61.14368384984391,53.31729231706389,2.4156490106193513,0.0
2000-06,2000-06-01,469.4287110157472,2000,0,,6.6930528337859645,416.7228555371817,26.75381485458245,0.0,124.87841376730266,0.0,61.14368384984391,52.70585547856545,2.4156490106193513,0.0
2000-07,2000-07-01,494.3925422830096,2000,0,,6.6930528337859645,441.3198247013451,26.75381485458245,0.0,124.87841376730266,0.0,61.14368384984391,53.07271758166452,2.4156490106193513,0.0
2000-08,2000-08-01,498.02268852444,2000,0,,6.6930528337859645,445.6836951489736,26.75381485458245,0.0,124.87841376730266,0.0,61.14368384984391,52.33899337546639,2.4156490106193513,0.0
2000-09,2000-09-01,474.8991753223251,2000,0,,6.6930528337859645,426.10651561014964,26.75381485458245,0.0,124.87841376730266,0.0,61.14368384984391,48.792659712175436,2.4156490106193513,0.0
2000-10,2000-10-01,479.4145388242369,2000,0,,6.6930528337859645,427.6258386034191,26.75381485458245,0.0,124.87841376730266,0.0,61.14368384984391,51.788700220817795,2.4156490106193513,0.0
2000-11,2000-11-01,478.6275553451573,2000,0,,6.6930528337859645,430.26290141993076,26.75381485458245,0.0,124.87841376730266,0.0,61.14368384984391,48.364653925226534,2.4156490106193513,0.0
2000-12,2000-12-01,504.59672922949596,2000,0,,6.6930528337859645,451.707442699381,26.75381485458245,0.0,124.87841376730266,0.0,61.14368384984391,52.88928653011498,2.4156490106193513,0.0
2001-01,2001-01-01,468.3240858340289,2001,0,,6.6930528337859645,418.79770191565535,26.75381485458245,0.0,124.87841376730266,0.0,61.14368384984391,49.52638391837357,2.4156490106193513,0.0
2001-02,2001-02-01,437.1626439032204,2001,0,,6.6930528337859645,395.21807678222746,26.75381485458245,0.0,124.87841376730266,0.0,61.14368384984391,41.94456712099292,2.4156490106193513,0.0
2001-03,2001-03-01,485.8300438277623,2001,0,,6.6930528337859645,436.05908517398933,26.75381485458245,0.0,124.87841376730266,0.0,61.14368384984391,49.770958653772944,2.4156490106193513,0.0
2001-04,2001-04-01,437.7527965394375,2001,0,,6.6930528337859645,386.69782052481787,26.75381485458245,0.0,124.87841376730266,0.0,61.14368384984391,51.05497601461966,2.4156490106193513,0.0
2001-05,2001-05-01,470.6533463504563,2001,0,,6.6930528337859645,424.7344397792235,26.75381485458245,0.0,124.87841376730266,0.0,61.14368384984391,45.91890657123278,2.4156490106193513,0.0
2001-06,2001-06-01,458.19234479622503,2001,0,,6.6930528337859645,411.7231450703436,26.75381485458245,0.0,124.87841376730266,0.0,61.14368384984391,46.469199725881374,2.4156490106193513,0.0
2001-07,2001-07-01,474.2843206699625,2001,0,,6.6930528337859645,425.43051727393726,26.75381485458245,0.0,124.87841376730266,0.0,61.14368384984391,48.853803396025285,2.4156490106193513,0.0
2001-08,2001-08-01,496.24492620644105,2001,0,,6.6930528337859645,448.2471343843136,26.75381485458245,0.0,124.87841376730266,0.0,61.14368384984391,47.99779182212747,2.4156490106193513,0.0
2001-09,2001-09-01,464.21415104069166,2001,0,,6.6930528337859645,422.39187128739843,26.75381485458245,0.0,124.87841376730266,0.0,61.14368384984391,41.82227975329323,2.4156490106193513,0.0
2001-10,2001-10-01,470.0769157286748,2001,0,,6.6930528337859645,427.82663018843266,26.75381485458245,0.0,124.87841376730266,0.0,61.14368384984391,42.25028554024214,2.4156490106193513,0.0
2001-11,2001-11-01,472.65332703064445,2001,0,,6.6930528337859645,432.2373520058976,26.75381485458245,0.0,124.87841376730266,0.0,61.14368384984391,40.41597502474683,2.4156490106193513,0.0
2001-12,2001-12-01,492.5302174390653,2001,0,,6.6930528337859645,446.7947419193821,26.75381485458245,0.0,124.87841376730266,0.0,61.14368384984391,45.73547551968324,2.4156490106193513,0.0
2002-01,2002-01-01,481.9111393471541,2002,0,,6.6930528337859645,439.59971012306215,26.75381485458245,0.0,124.87841376730266,0.0,61.14368384984391,42.31142922409199,2.4156490106193513,0.0
2002-02,2002-02-01,423.6395445148974,2002,0,,6.6930528337859645,383.71271896094936,26.75381485458245,0.0,124.87841376730266,0.0,61.14368384984391,39.92682555394808,2.4156490106193513,0.0
2002-03,2002-03-01,475.5457609524349,2002,0,,6.6930528337859645,430.5440096389498,26.75381485458245,0.0,124.87841376730266,0.0,61.14368384984391,45.001751313485116,2.4156490106193513,0.0
2002-04,2002-04-01,449.2747649463735,2002,0,,6.6930528337859645,405.67931836143487,26.75381485458245,0.0,124.87841376730266,0.0,61.14368384984391,43.595446584938706,2.4156490106193513,0.0
2002-05,2002-05-01,462.9087987185844,2002,0,,6.6930528337859645,422.00367422303884,26.75381485458245,0.0,124.87841376730266,0.0,61.14368384984391,40.90512449554558,2.4156490106193513,0.0
2002-06,2002-06-01,443.91768218457736,2002,0,,6.6930528337859645,404.11314399832895,26.75381485458245,0.0,124.87841376730266,0.0,61.14368384984391,39.80453818624839,2.4156490106193513,0.0
2002-07,2002-07-01,479.208116655275,2002,0,,6.6930528337859645,434.5732274448889,26.75381485458245,0.0,124.87841376730266,0.0,61.14368384984391,44.634889210386056,2.4156490106193513,0.0
2002-08,2002-08-01,496.8508613502403,2002,0,,6.6930528337859645,450.8708110951577,26.75381485458245,0.0,124.87841376730266,0.0,61.14368384984391,45.980050255082624,2.4156490106193513,0.0
2002-09,2002-09-01,486.68942245654495,2002,0,,6.6930528337859645,444.86714270325166,26.75381485458245,0.0,124.87841376730266,0.0,61.14368384984391,41.82227975329323,2.4156490106193513,0.0
2002-10,2002-10-01,504.50931918926403,2002,0,,6.6930528337859645,459.32413682422936,26.75381485458245,0.0,124.87841376730266,0.0,61.14368384984391,45.18518236503465,2.4156490106193513,0.0
2002-11,2002-11-01,495.14581640506736,2002,0,,6.6930528337859645,453.5681113871735,26.75381485458245,0.0,124.87841376730266,0.0,61.14368384984391,41.57770501789386,2.4156490106193513,0.0
2002-12,2002-12-01,519.3373568606562,2002,0,,6.6930528337859645,473.0515881863244,26.75381485458245,0.0,124.87841376730266,0.0,61.14368384984391,46.28576867433184,2.4156490106193513,0.0
2003-01,2003-01-01,512.8338070726966,2003,0,,6.6930528337859645,469.1160731200582,26.75381485458245,0.0,124.87841376730266,0.0,61.14368384984391,43.7177339526384,2.4156490106193513,0.0
