model_version,model_id,entity_id,target_id,period_type,target_year,period_label,target_period_start,target_period_end,forecast_origin,information_cutoff,target_volume_mn,anchor_year,anchor_period_type,anchor_release_date,anchor_actual_status,anchor_volume_mn,anchor_actual_value_hkdm,anchor_yield_hkd_per_passenger,fam_factor,predicted_value_hkdm,actual_value_hkdm,error_hkdm,error_pct,absolute_error_pct,actual_status,actual_available_at,actual_source_url,actual_definition,evaluation_status,pit_grade,model_applied,has_prediction,has_actual,chronological_training_periods,input_bundle_id,source_snapshot,source_snapshot_sha256,source_caveat
mtr_half_year_walk_forward_oos_v1,mtr_prior_same_half_yield_walk_forward_v1,MTR,transport_operations_revenue_half_year,H1,2005,2005 H1,2005-01-01,2005-06-30,2005-06-30,2005-06-30,417.64599999999996,,H1,,,,,,,,,,,,not_available,,,,insufficient_prior_same_half_actual,D_diagnostic_only,False,False,False,0,mtr_half_year_walk_forward_oos_v1-b40bbafcbf788567,data/raw/hk_transport/mtr_patronage_20260812_223726.json,1f5f7b13236ccd20492dffde8ec8ce05331995a998b378f0db66a778b17031f2,no_prior_same_half_actual_available; h2_actual_is_official_fy_minus_h1; patronage_vintage_not_captured
mtr_half_year_walk_forward_oos_v1,mtr_prior_same_half_yield_walk_forward_v1,MTR,transport_operations_revenue_half_year,H2,2005,2005 H2,2005-07-01,2005-12-31,2005-12-31,2005-12-31,448.79999999999995,,H2,,,,,,,,,,,,not_available,,,,insufficient_prior_same_half_actual,D_diagnostic_only,False,False,False,0,mtr_half_year_walk_forward_oos_v1-b40bbafcbf788567,data/raw/hk_transport/mtr_patronage_20260812_223726.json,1f5f7b13236ccd20492dffde8ec8ce05331995a998b378f0db66a778b17031f2,no_prior_same_half_actual_available; h2_actual_is_official_fy_minus_h1; patronage_vintage_not_captured
mtr_half_year_walk_forward_oos_v1,mtr_prior_same_half_yield_walk_forward_v1,MTR,transport_operations_revenue_half_year,H1,2006,2006 H1,2006-01-01,2006-06-30,2006-06-30,2006-06-30,422.898,,H1,,,,,,,,,,,,not_available,,,,insufficient_prior_same_half_actual,D_diagnostic_only,False,False,False,0,mtr_half_year_walk_forward_oos_v1-b40bbafcbf788567,data/raw/hk_transport/mtr_patronage_20260812_223726.json,1f5f7b13236ccd20492dffde8ec8ce05331995a998b378f0db66a778b17031f2,no_prior_same_half_actual_available; h2_actual_is_official_fy_minus_h1; patronage_vintage_not_captured
mtr_half_year_walk_forward_oos_v1,mtr_prior_same_half_yield_walk_forward_v1,MTR,transport_operations_revenue_half_year,H2,2006,2006 H2,2006-07-01,2006-12-31,2006-12-31,2006-12-31,453.43199999999996,,H2,,,,,,,,,,,,not_available,,,,insufficient_prior_same_half_actual,D_diagnostic_only,False,False,False,0,mtr_half_year_walk_forward_oos_v1-b40bbafcbf788567,data/raw/hk_transport/mtr_patronage_20260812_223726.json,1f5f7b13236ccd20492dffde8ec8ce05331995a998b378f0db66a778b17031f2,no_prior_same_half_actual_available; h2_actual_is_official_fy_minus_h1; patronage_vintage_not_captured
mtr_half_year_walk_forward_oos_v1,mtr_prior_same_half_yield_walk_forward_v1,MTR,transport_operations_revenue_half_year,H1,2007,2007 H1,2007-01-01,2007-06-30,2007-06-30,2007-06-30,434.131,,H1,,,,,,,,,,,,not_available,,,,insufficient_prior_same_half_actual,D_diagnostic_only,False,False,False,0,mtr_half_year_walk_forward_oos_v1-b40bbafcbf788567,data/raw/hk_transport/mtr_patronage_20260812_223726.json,1f5f7b13236ccd20492dffde8ec8ce05331995a998b378f0db66a778b17031f2,no_prior_same_half_actual_available; h2_actual_is_official_fy_minus_h1; patronage_vintage_not_captured
mtr_half_year_walk_forward_oos_v1,mtr_prior_same_half_yield_walk_forward_v1,MTR,transport_operations_revenue_half_year,H2,2007,2007 H2,2007-07-01,2007-12-31,2007-12-31,2007-12-31,514.177,,H2,,,,,,,,,,,,not_available,,,,insufficient_prior_same_half_actual,D_diagnostic_only,False,False,False,0,mtr_half_year_walk_forward_oos_v1-b40bbafcbf788567,data/raw/hk_transport/mtr_patronage_20260812_223726.json,1f5f7b13236ccd20492dffde8ec8ce05331995a998b378f0db66a778b17031f2,no_prior_same_half_actual_available; h2_actual_is_official_fy_minus_h1; patronage_vintage_not_captured
mtr_half_year_walk_forward_oos_v1,mtr_prior_same_half_yield_walk_forward_v1,MTR,transport_operations_revenue_half_year,H1,2008,2008 H1,2008-01-01,2008-06-30,2008-06-30,2008-06-30,721.201,,H1,,,,,,,,,,,,not_available,,,,insufficient_prior_same_half_actual,D_diagnostic_only,False,False,False,0,mtr_half_year_walk_forward_oos_v1-b40bbafcbf788567,data/raw/hk_transport/mtr_patronage_20260812_223726.json,1f5f7b13236ccd20492dffde8ec8ce05331995a998b378f0db66a778b17031f2,no_prior_same_half_actual_available; h2_actual_is_official_fy_minus_h1; patronage_vintage_not_captured
mtr_half_year_walk_forward_oos_v1,mtr_prior_same_half_yield_walk_forward_v1,MTR,transport_operations_revenue_half_year,H2,2008,2008 H2,2008-07-01,2008-12-31,2008-12-31,2008-12-31,763.933,,H2,,,,,,,,,,,,not_available,,,,insufficient_prior_same_half_actual,D_diagnostic_only,False,False,False,0,mtr_half_year_walk_forward_oos_v1-b40bbafcbf788567,data/raw/hk_transport/mtr_patronage_20260812_223726.json,1f5f7b13236ccd20492dffde8ec8ce05331995a998b378f0db66a778b17031f2,no_prior_same_half_actual_available; h2_actual_is_official_fy_minus_h1; patronage_vintage_not_captured
mtr_half_year_walk_forward_oos_v1,mtr_prior_same_half_yield_walk_forward_v1,MTR,transport_operations_revenue_half_year,H1,2009,2009 H1,2009-01-01,2009-06-30,2009-06-30,2009-06-30,726.4159999999999,,H1,,,,,,,,,,,,not_available,,,,insufficient_prior_same_half_actual,D_diagnostic_only,False,False,False,0,mtr_half_year_walk_forward_oos_v1-b40bbafcbf788567,data/raw/hk_transport/mtr_patronage_20260812_223726.json,1f5f7b13236ccd20492dffde8ec8ce05331995a998b378f0db66a778b17031f2,no_prior_same_half_actual_available; h2_actual_is_official_fy_minus_h1; patronage_vintage_not_captured
mtr_half_year_walk_forward_oos_v1,mtr_prior_same_half_yield_walk_forward_v1,MTR,transport_operations_revenue_half_year,H2,2009,2009 H2,2009-07-01,2009-12-31,2009-12-31,2009-12-31,780.198,,H2,,,,,,,,,,,,not_available,,,,insufficient_prior_same_half_actual,D_diagnostic_only,False,False,False,0,mtr_half_year_walk_forward_oos_v1-b40bbafcbf788567,data/raw/hk_transport/mtr_patronage_20260812_223726.json,1f5f7b13236ccd20492dffde8ec8ce05331995a998b378f0db66a778b17031f2,no_prior_same_half_actual_available; h2_actual_is_official_fy_minus_h1; patronage_vintage_not_captured
