dataset_id,quarter_id,quarter_label,microsoft,google,meta,amazon,oracle,apple,source_url,page_url,bundle_url,source_run_id,scraped_at
artificial_analysis_capex_quarterly,2014-q1,Q1-2014,1.192,2.345,0.363,1.08,0.147,1.382,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/_next/static/chunks/15372-a7b8bde8983d0922.js,20260501T100738Z-531267df,2026-05-01T10:07:38.421148Z
artificial_analysis_capex_quarterly,2014-q2,Q2-2014,1.33,2.646,0.469,1.29,0.154,2.378,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/_next/static/chunks/15372-a7b8bde8983d0922.js,20260501T100738Z-531267df,2026-05-01T10:07:38.421148Z
artificial_analysis_capex_quarterly,2014-q3,Q3-2014,1.282,2.417,0.482,1.378,0.201,3.826,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/_next/static/chunks/15372-a7b8bde8983d0922.js,20260501T100738Z-531267df,2026-05-01T10:07:38.421148Z
artificial_analysis_capex_quarterly,2014-q4,Q4-2014,1.49,3.551,0.517,1.145,0.225,3.217,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/_next/static/chunks/15372-a7b8bde8983d0922.js,20260501T100738Z-531267df,2026-05-01T10:07:38.421148Z
artificial_analysis_capex_quarterly,2015-q1,Q1-2015,1.391,2.927,0.502,0.871,0.368,2.369,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/_next/static/chunks/15372-a7b8bde8983d0922.js,20260501T100738Z-531267df,2026-05-01T10:07:38.421148Z
artificial_analysis_capex_quarterly,2015-q2,Q2-2015,1.781,2.515,0.549,1.213,0.597,2.043,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/_next/static/chunks/15372-a7b8bde8983d0922.js,20260501T100738Z-531267df,2026-05-01T10:07:38.421148Z
artificial_analysis_capex_quarterly,2015-q3,Q3-2015,1.356,2.373,0.78,1.196,0.446,3.618,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/_next/static/chunks/15372-a7b8bde8983d0922.js,20260501T100738Z-531267df,2026-05-01T10:07:38.421148Z
artificial_analysis_capex_quarterly,2015-q4,Q4-2015,2.024,2.1,0.692,1.309,0.195,3.612,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/_next/static/chunks/15372-a7b8bde8983d0922.js,20260501T100738Z-531267df,2026-05-01T10:07:38.421148Z
artificial_analysis_capex_quarterly,2016-q1,Q1-2016,2.308,2.428,1.132,1.179,0.368,2.336,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/_next/static/chunks/15372-a7b8bde8983d0922.js,20260501T100738Z-531267df,2026-05-01T10:07:38.421148Z
artificial_analysis_capex_quarterly,2016-q2,Q2-2016,2.655,2.123,0.995,1.711,0.18,2.809,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/_next/static/chunks/15372-a7b8bde8983d0922.js,20260501T100738Z-531267df,2026-05-01T10:07:38.421148Z
artificial_analysis_capex_quarterly,2016-q3,Q3-2016,2.163,2.357,1.095,1.841,0.299,3.977,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/_next/static/chunks/15372-a7b8bde8983d0922.js,20260501T100738Z-531267df,2026-05-01T10:07:38.421148Z
artificial_analysis_capex_quarterly,2016-q4,Q4-2016,1.988,3.064,1.269,2.006,0.757,3.334,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/_next/static/chunks/15372-a7b8bde8983d0922.js,20260501T100738Z-531267df,2026-05-01T10:07:38.421148Z
artificial_analysis_capex_quarterly,2017-q1,Q1-2017,1.695,2.467,1.271,1.861,0.44,2.975,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/_next/static/chunks/15372-a7b8bde8983d0922.js,20260501T100738Z-531267df,2026-05-01T10:07:38.421148Z
artificial_analysis_capex_quarterly,2017-q2,Q2-2017,2.283,2.818,1.444,2.501,0.525,2.277,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/_next/static/chunks/15372-a7b8bde8983d0922.js,20260501T100738Z-531267df,2026-05-01T10:07:38.421148Z
artificial_analysis_capex_quarterly,2017-q3,Q3-2017,2.132,3.511,1.755,2.66,0.473,3.865,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/_next/static/chunks/15372-a7b8bde8983d0922.js,20260501T100738Z-531267df,2026-05-01T10:07:38.421148Z
artificial_analysis_capex_quarterly,2017-q4,Q4-2017,2.586,4.388,2.263,3.036,0.599,2.81,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/_next/static/chunks/15372-a7b8bde8983d0922.js,20260501T100738Z-531267df,2026-05-01T10:07:38.421148Z
artificial_analysis_capex_quarterly,2018-q1,Q1-2018,2.934,7.269,2.812,2.727,0.286,4.195,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/_next/static/chunks/15372-a7b8bde8983d0922.js,20260501T100738Z-531267df,2026-05-01T10:07:38.421148Z
artificial_analysis_capex_quarterly,2018-q2,Q2-2018,3.98,5.507,3.46,2.949,0.378,3.267,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/_next/static/chunks/15372-a7b8bde8983d0922.js,20260501T100738Z-531267df,2026-05-01T10:07:38.421148Z
artificial_analysis_capex_quarterly,2018-q3,Q3-2018,3.602,5.282,3.342,2.527,0.383,3.041,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/_next/static/chunks/15372-a7b8bde8983d0922.js,20260501T100738Z-531267df,2026-05-01T10:07:38.421148Z
artificial_analysis_capex_quarterly,2018-q4,Q4-2018,3.707,7.081,4.301,3.12,0.421,3.355,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/_next/static/chunks/15372-a7b8bde8983d0922.js,20260501T100738Z-531267df,2026-05-01T10:07:38.421148Z
artificial_analysis_capex_quarterly,2019-q1,Q1-2019,2.565,4.638,3.837,2.721,0.443,2.363,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/_next/static/chunks/15372-a7b8bde8983d0922.js,20260501T100738Z-531267df,2026-05-01T10:07:38.421148Z
artificial_analysis_capex_quarterly,2019-q2,Q2-2019,4.051,6.126,3.633,2.643,0.413,2.0,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/_next/static/chunks/15372-a7b8bde8983d0922.js,20260501T100738Z-531267df,2026-05-01T10:07:38.421148Z
artificial_analysis_capex_quarterly,2019-q3,Q3-2019,3.385,1.076,4.353,2.338,0.386,2.777,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/_next/static/chunks/15372-a7b8bde8983d0922.js,20260501T100738Z-531267df,2026-05-01T10:07:38.421148Z
artificial_analysis_capex_quarterly,2019-q4,Q4-2019,3.545,2.354,8.41,3.94,0.349,2.107,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/_next/static/chunks/15372-a7b8bde8983d0922.js,20260501T100738Z-531267df,2026-05-01T10:07:38.421148Z
artificial_analysis_capex_quarterly,2020-q1,Q1-2020,3.767,6.005,3.558,5.428,0.396,1.853,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/_next/static/chunks/15372-a7b8bde8983d0922.js,20260501T100738Z-531267df,2026-05-01T10:07:38.421148Z
artificial_analysis_capex_quarterly,2020-q2,Q2-2020,4.744,5.391,3.255,6.614,0.433,1.565,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/_next/static/chunks/15372-a7b8bde8983d0922.js,20260501T100738Z-531267df,2026-05-01T10:07:38.421148Z
artificial_analysis_capex_quarterly,2020-q3,Q3-2020,4.907,5.406,3.689,9.808,0.436,1.784,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/_next/static/chunks/15372-a7b8bde8983d0922.js,20260501T100738Z-531267df,2026-05-01T10:07:38.421148Z
artificial_analysis_capex_quarterly,2020-q4,Q4-2020,4.174,5.479,4.613,13.194,0.568,3.5,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/_next/static/chunks/15372-a7b8bde8983d0922.js,20260501T100738Z-531267df,2026-05-01T10:07:38.421148Z
artificial_analysis_capex_quarterly,2021-q1,Q1-2021,5.089,5.942,4.271,21.118,0.741,2.269,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/_next/static/chunks/15372-a7b8bde8983d0922.js,20260501T100738Z-531267df,2026-05-01T10:07:38.421148Z
artificial_analysis_capex_quarterly,2021-q2,Q2-2021,6.452,5.496,4.612,12.988,0.717,2.093,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/_next/static/chunks/15372-a7b8bde8983d0922.js,20260501T100738Z-531267df,2026-05-01T10:07:38.421148Z
artificial_analysis_capex_quarterly,2021-q3,Q3-2021,5.81,6.819,4.314,14.751,1.062,3.223,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/_next/static/chunks/15372-a7b8bde8983d0922.js,20260501T100738Z-531267df,2026-05-01T10:07:38.421148Z
artificial_analysis_capex_quarterly,2021-q4,Q4-2021,5.865,6.383,5.369,16.47,0.925,2.803,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/_next/static/chunks/15372-a7b8bde8983d0922.js,20260501T100738Z-531267df,2026-05-01T10:07:38.421148Z
artificial_analysis_capex_quarterly,2022-q1,Q1-2022,5.34,9.786,5.315,13.742,1.101,2.514,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/_next/static/chunks/15372-a7b8bde8983d0922.js,20260501T100738Z-531267df,2026-05-01T10:07:38.421148Z
artificial_analysis_capex_quarterly,2022-q2,Q2-2022,6.871,6.828,7.528,14.098,1.423,2.102,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/_next/static/chunks/15372-a7b8bde8983d0922.js,20260501T100738Z-531267df,2026-05-01T10:07:38.421148Z
artificial_analysis_capex_quarterly,2022-q3,Q3-2022,6.283,7.276,9.355,15.041,1.719,3.289,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/_next/static/chunks/15372-a7b8bde8983d0922.js,20260501T100738Z-531267df,2026-05-01T10:07:38.421148Z
artificial_analysis_capex_quarterly,2022-q4,Q4-2022,6.274,7.595,8.988,15.44,2.435,3.787,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/_next/static/chunks/15372-a7b8bde8983d0922.js,20260501T100738Z-531267df,2026-05-01T10:07:38.421148Z
artificial_analysis_capex_quarterly,2023-q1,Q1-2023,6.607,6.289,6.823,13.07,2.628,2.916,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/_next/static/chunks/15372-a7b8bde8983d0922.js,20260501T100738Z-531267df,2026-05-01T10:07:38.421148Z
artificial_analysis_capex_quarterly,2023-q2,Q2-2023,8.943,6.888,6.134,10.412,1.913,2.093,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/_next/static/chunks/15372-a7b8bde8983d0922.js,20260501T100738Z-531267df,2026-05-01T10:07:38.421148Z
artificial_analysis_capex_quarterly,2023-q3,Q3-2023,9.917,8.055,6.496,11.298,1.314,2.163,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/_next/static/chunks/15372-a7b8bde8983d0922.js,20260501T100738Z-531267df,2026-05-01T10:07:38.421148Z
artificial_analysis_capex_quarterly,2023-q4,Q4-2023,9.735,11.019,7.592,13.353,1.08,2.392,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/_next/static/chunks/15372-a7b8bde8983d0922.js,20260501T100738Z-531267df,2026-05-01T10:07:38.421148Z
artificial_analysis_capex_quarterly,2024-q1,Q1-2024,10.952,12.012,6.4,13.935,1.674,1.996,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/_next/static/chunks/15372-a7b8bde8983d0922.js,20260501T100738Z-531267df,2026-05-01T10:07:38.421148Z
artificial_analysis_capex_quarterly,2024-q2,Q2-2024,13.873,13.186,8.173,16.393,2.798,2.151,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/_next/static/chunks/15372-a7b8bde8983d0922.js,20260501T100738Z-531267df,2026-05-01T10:07:38.421148Z
artificial_analysis_capex_quarterly,2024-q3,Q3-2024,14.923,13.061,8.258,21.278,2.303,2.908,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/_next/static/chunks/15372-a7b8bde8983d0922.js,20260501T100738Z-531267df,2026-05-01T10:07:38.421148Z
artificial_analysis_capex_quarterly,2024-q4,Q4-2024,15.804,14.276,14.425,26.052,3.97,2.94,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/_next/static/chunks/15372-a7b8bde8983d0922.js,20260501T100738Z-531267df,2026-05-01T10:07:38.421148Z
artificial_analysis_capex_quarterly,2025-q1,Q1-2025,16.745,17.197,12.941,24.255,5.862,3.071,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/_next/static/chunks/15372-a7b8bde8983d0922.js,20260501T100738Z-531267df,2026-05-01T10:07:38.421148Z
artificial_analysis_capex_quarterly,2025-q2,Q2-2025,17.079,22.446,16.538,31.368,9.08,3.462,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/_next/static/chunks/15372-a7b8bde8983d0922.js,20260501T100738Z-531267df,2026-05-01T10:07:38.421148Z
artificial_analysis_capex_quarterly,2025-q3,Q3-2025,19.394,23.953,18.829,34.228,8.502,0.0,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/trends,https://artificialanalysis.ai/_next/static/chunks/15372-a7b8bde8983d0922.js,20260501T100738Z-531267df,2026-05-01T10:07:38.421148Z
