dataset_id,source_url,source_run_id,scraped_at,snapshot_ts,model_id,model_name,created_at,context_length,architecture,pricing_prompt,pricing_completion,top_provider_id,instance_type_name,gpu_type,gpu_count,region,availability_zone,instance_type,product_description,spot_price,price_timestamp
raw_aws_spot_price_history,aws-ec2://us-west-2/DescribeSpotPriceHistory,20260415T225637Z-2a72037b,2026-04-15T22:56:37.109991Z,2026-04-15T22:56:37.109991Z,,,,,,,,,,,,us-west-2,us-west-2d,p5en.48xlarge,Linux/UNIX,18.068,2026-04-14T20:33:58+00:00
raw_aws_spot_price_history,aws-ec2://us-west-2/DescribeSpotPriceHistory,20260415T225637Z-2a72037b,2026-04-15T22:56:37.109991Z,2026-04-15T22:56:37.109991Z,,,,,,,,,,,,us-west-2,us-west-2a,p5en.48xlarge,Linux/UNIX,18.2134,2026-04-14T20:47:58+00:00
raw_aws_spot_price_history,aws-ec2://us-east-2/DescribeSpotPriceHistory,20260415T225637Z-2a72037b,2026-04-15T22:56:37.109991Z,2026-04-15T22:56:37.109991Z,,,,,,,,,,,,us-east-2,us-east-2c,p5en.48xlarge,Linux/UNIX,10.51,2026-04-14T21:02:29+00:00
raw_aws_spot_price_history,aws-ec2://us-east-1/DescribeSpotPriceHistory,20260415T225637Z-2a72037b,2026-04-15T22:56:37.109991Z,2026-04-15T22:56:37.109991Z,,,,,,,,,,,,us-east-1,us-east-1e,p5.48xlarge,Linux/UNIX,15.8568,2026-04-14T21:03:35+00:00
raw_aws_spot_price_history,aws-ec2://us-east-1/DescribeSpotPriceHistory,20260415T225637Z-2a72037b,2026-04-15T22:56:37.109991Z,2026-04-15T22:56:37.109991Z,,,,,,,,,,,,us-east-1,us-east-1b,p5.48xlarge,Linux/UNIX,18.5141,2026-04-14T21:03:45+00:00
raw_aws_spot_price_history,aws-ec2://us-east-1/DescribeSpotPriceHistory,20260415T225637Z-2a72037b,2026-04-15T22:56:37.109991Z,2026-04-15T22:56:37.109991Z,,,,,,,,,,,,us-east-1,us-east-1b,p5en.48xlarge,Linux/UNIX,21.1574,2026-04-14T21:19:00+00:00
raw_aws_spot_price_history,aws-ec2://us-west-2/DescribeSpotPriceHistory,20260415T225637Z-2a72037b,2026-04-15T22:56:37.109991Z,2026-04-15T22:56:37.109991Z,,,,,,,,,,,,us-west-2,us-west-2b,p5.48xlarge,Linux/UNIX,18.8434,2026-04-14T21:32:45+00:00
raw_aws_spot_price_history,aws-ec2://us-west-2/DescribeSpotPriceHistory,20260415T225637Z-2a72037b,2026-04-15T22:56:37.109991Z,2026-04-15T22:56:37.109991Z,,,,,,,,,,,,us-west-2,us-west-2c,p5en.48xlarge,Linux/UNIX,18.857,2026-04-14T22:02:53+00:00
raw_aws_spot_price_history,aws-ec2://us-west-2/DescribeSpotPriceHistory,20260415T225637Z-2a72037b,2026-04-15T22:56:37.109991Z,2026-04-15T22:56:37.109991Z,,,,,,,,,,,,us-west-2,us-west-2a,p6-b200.48xlarge,Linux/UNIX,27.2477,2026-04-14T22:32:28+00:00
raw_aws_spot_price_history,aws-ec2://us-east-2/DescribeSpotPriceHistory,20260415T225637Z-2a72037b,2026-04-15T22:56:37.109991Z,2026-04-15T22:56:37.109991Z,,,,,,,,,,,,us-east-2,us-east-2c,p5e.48xlarge,Linux/UNIX,12.9988,2026-04-14T23:01:37+00:00
raw_aws_spot_price_history,aws-ec2://us-east-2/DescribeSpotPriceHistory,20260415T225637Z-2a72037b,2026-04-15T22:56:37.109991Z,2026-04-15T22:56:37.109991Z,,,,,,,,,,,,us-east-2,us-east-2b,p6-b200.48xlarge,Linux/UNIX,29.7321,2026-04-14T23:02:17+00:00
raw_aws_spot_price_history,aws-ec2://us-east-1/DescribeSpotPriceHistory,20260415T225637Z-2a72037b,2026-04-15T22:56:37.109991Z,2026-04-15T22:56:37.109991Z,,,,,,,,,,,,us-east-1,us-east-1d,p5en.48xlarge,Linux/UNIX,15.7036,2026-04-14T23:03:23+00:00
raw_aws_spot_price_history,aws-ec2://us-east-1/DescribeSpotPriceHistory,20260415T225637Z-2a72037b,2026-04-15T22:56:37.109991Z,2026-04-15T22:56:37.109991Z,,,,,,,,,,,,us-east-1,us-east-1f,p5.48xlarge,Linux/UNIX,17.9063,2026-04-14T23:34:05+00:00
