registry_version,doc_id,path,topic_key,classification,canonical_path,reason
asia_backtest_registry_v2,AIRLINE_SIGNALS_EXPANSION_HANDOFF 4,docs/asia-markets/AIRLINE_SIGNALS_EXPANSION_HANDOFF 4.md,airline_signals_expansion_handoff,numbered_copy,docs/asia-markets/AIRLINE_SIGNALS_EXPANSION_HANDOFF.md,Numbered duplicate; keep for history but use the unsuffixed file as canonical.
asia_backtest_registry_v2,AIRLINE_SIGNALS_EXPANSION_HANDOFF,docs/asia-markets/AIRLINE_SIGNALS_EXPANSION_HANDOFF.md,airline_signals_expansion_handoff,unclassified,docs/asia-markets/AIRLINE_SIGNALS_EXPANSION_HANDOFF.md,Requires later topic-level review.
asia_backtest_registry_v2,asia-markets-china-alt-data-sources,docs/asia-markets/asia-markets-china-alt-data-sources.md,asia-markets-china-alt-data-sources,unclassified,docs/asia-markets/asia-markets-china-alt-data-sources.md,Requires later topic-level review.
asia_backtest_registry_v2,asia-markets-hk-aerospace-crypto-dashboard-build-plan,docs/asia-markets/asia-markets-hk-aerospace-crypto-dashboard-build-plan.md,asia-markets-hk-aerospace-crypto-dashboard-build-plan,unclassified,docs/asia-markets/asia-markets-hk-aerospace-crypto-dashboard-build-plan.md,Requires later topic-level review.
asia_backtest_registry_v2,asia-markets-hk-aerospace-crypto-implementation-brief,docs/asia-markets/asia-markets-hk-aerospace-crypto-implementation-brief.md,asia-markets-hk-aerospace-crypto-implementation-brief,unclassified,docs/asia-markets/asia-markets-hk-aerospace-crypto-implementation-brief.md,Requires later topic-level review.
asia_backtest_registry_v2,asia-markets-hk-ai-llm-long-short 2,docs/asia-markets/asia-markets-hk-ai-llm-long-short 2.md,asia-markets-hk-ai-llm-long-short,numbered_copy,docs/asia-markets/asia-markets-hk-ai-llm-long-short.md,Numbered duplicate; keep for history but use the unsuffixed file as canonical.
asia_backtest_registry_v2,asia-markets-hk-ai-llm-long-short 3,docs/asia-markets/asia-markets-hk-ai-llm-long-short 3.md,asia-markets-hk-ai-llm-long-short,numbered_copy,docs/asia-markets/asia-markets-hk-ai-llm-long-short.md,Numbered duplicate; keep for history but use the unsuffixed file as canonical.
asia_backtest_registry_v2,asia-markets-hk-ai-llm-long-short 4,docs/asia-markets/asia-markets-hk-ai-llm-long-short 4.md,asia-markets-hk-ai-llm-long-short,numbered_copy,docs/asia-markets/asia-markets-hk-ai-llm-long-short.md,Numbered duplicate; keep for history but use the unsuffixed file as canonical.
asia_backtest_registry_v2,asia-markets-hk-ai-llm-long-short,docs/asia-markets/asia-markets-hk-ai-llm-long-short.md,asia-markets-hk-ai-llm-long-short,unclassified,docs/asia-markets/asia-markets-hk-ai-llm-long-short.md,Requires later topic-level review.
asia_backtest_registry_v2,asia-markets-hk-akshare-capabilities,docs/asia-markets/asia-markets-hk-akshare-capabilities.md,asia-markets-hk-akshare-capabilities,unclassified,docs/asia-markets/asia-markets-hk-akshare-capabilities.md,Requires later topic-level review.
asia_backtest_registry_v2,asia-markets-hk-alt-data-sources,docs/asia-markets/asia-markets-hk-alt-data-sources.md,asia-markets-hk-alt-data-sources,unclassified,docs/asia-markets/asia-markets-hk-alt-data-sources.md,Requires later topic-level review.
asia_backtest_registry_v2,asia-markets-hk-commercial-aerospace,docs/asia-markets/asia-markets-hk-commercial-aerospace.md,asia-markets-hk-commercial-aerospace,unclassified,docs/asia-markets/asia-markets-hk-commercial-aerospace.md,Requires later topic-level review.
asia_backtest_registry_v2,asia-markets-hk-consumer-trend-stocks,docs/asia-markets/asia-markets-hk-consumer-trend-stocks.md,asia-markets-hk-consumer-trend-stocks,unclassified,docs/asia-markets/asia-markets-hk-consumer-trend-stocks.md,Requires later topic-level review.
asia_backtest_registry_v2,asia-markets-hk-financials-energy-insurance,docs/asia-markets/asia-markets-hk-financials-energy-insurance.md,asia-markets-hk-financials-energy-insurance,unclassified,docs/asia-markets/asia-markets-hk-financials-energy-insurance.md,Requires later topic-level review.
asia_backtest_registry_v2,asia-markets-hk-focus-list,docs/asia-markets/asia-markets-hk-focus-list.md,asia-markets-hk-focus-list,unclassified,docs/asia-markets/asia-markets-hk-focus-list.md,Requires later topic-level review.
asia_backtest_registry_v2,asia-markets-hk-labour-market,docs/asia-markets/asia-markets-hk-labour-market.md,asia-markets-hk-labour-market,unclassified,docs/asia-markets/asia-markets-hk-labour-market.md,Requires later topic-level review.
asia_backtest_registry_v2,asia-markets-hk-local-consumer,docs/asia-markets/asia-markets-hk-local-consumer.md,asia-markets-hk-local-consumer,unclassified,docs/asia-markets/asia-markets-hk-local-consumer.md,Requires later topic-level review.
asia_backtest_registry_v2,asia-markets-hk-minerals,docs/asia-markets/asia-markets-hk-minerals.md,asia-markets-hk-minerals,unclassified,docs/asia-markets/asia-markets-hk-minerals.md,Requires later topic-level review.
asia_backtest_registry_v2,asia-markets-hk-parked-themes,docs/asia-markets/asia-markets-hk-parked-themes.md,asia-markets-hk-parked-themes,unclassified,docs/asia-markets/asia-markets-hk-parked-themes.md,Requires later topic-level review.
asia_backtest_registry_v2,asia-markets-hk-real-estate,docs/asia-markets/asia-markets-hk-real-estate.md,asia-markets-hk-real-estate,unclassified,docs/asia-markets/asia-markets-hk-real-estate.md,Requires later topic-level review.
asia_backtest_registry_v2,asia-markets-hk-sectors,docs/asia-markets/asia-markets-hk-sectors.md,asia-markets-hk-sectors,unclassified,docs/asia-markets/asia-markets-hk-sectors.md,Requires later topic-level review.
