layer,n,cost_mae_pct,cost_bias_pct,regime_years_mae_pct,retrieved_at
flat_ask_cost,47,18.764584806746903,3.2914414508419174,32.43461817712451,2026-08-10T20:54:59.240964+00:00
fuel_mechanical,47,15.41447773922145,3.0576579429602053,28.36918670695809,2026-08-10T20:54:59.240964+00:00
nonfuel_drivers,47,18.565373583591658,-13.596179969314656,29.83299099444351,2026-08-10T20:54:59.240964+00:00
company_shrink,47,13.430273961522971,-4.326404919463224,23.44055335599897,2026-08-10T20:54:59.240964+00:00
full_cask,47,15.625688001427841,-2.5117946244568783,27.518318681801095,2026-08-10T20:54:59.240964+00:00
