dataset_id,ticker,company,market,query_symbol,published_at,news_title,news_content,news_source,news_url,event_category,history_scope,source_quality,source_url,source_note,retrieved_at,relevance_scope
airline_news_events,0293.HK,Cathay Pacific,HK,293,2026-07-22 20:46:00,港股公告精选｜云知声上半年收入同比增超3成 赤子城科技中期营收或超6亿美元,国泰航空00293.HK)：发盈喜，预计上半年股东应占综合溢利约60至65亿港元，客货运量均同比增长9%。 2）融资、回购动态 地平线机器人-W(09660.HK)：拟发行4.5亿美元可换股债券。,财联社,http://finance.eastmoney.com/a/202607223817569333.html,financial_results_or_guidance,latest_public_news_window,eastmoney_news_discovery,https://so.eastmoney.com/news/s,"Latest public Eastmoney news window retrieved through AkShare. Category is keyword-based discovery metadata, not sentiment or a trade signal.",2026-08-07T05:16:59.080478+00:00,mentioned_in_body
airline_news_events,0753.HK / 601111.SH,Air China,CN_A/HK,601111,2026-07-22 15:54:27,一季度盈利48亿二季度亏损超百亿元 三大航上半年业绩“大逆转”,中国国航（601111.SH）、南方航空（600029.SH）、中国东航（600115.SH）近期披露上半年业绩预告：受航油价格持续高位运行挤压盈利空间，三大航一季度整体盈利过后，二季度全线陷入亏损，上半年合计净亏损规模逼近百亿元。,中国经营报,http://finance.eastmoney.com/a/202607223817251078.html,financial_results_or_guidance,latest_public_news_window,eastmoney_news_discovery,https://so.eastmoney.com/news/s,"Latest public Eastmoney news window retrieved through AkShare. Category is keyword-based discovery metadata, not sentiment or a trade signal.",2026-08-07T05:16:59.080478+00:00,mentioned_in_body
airline_news_events,01055.HK / 600029.SH,China Southern Airlines,CN_A/HK,600029,2026-07-22 15:54:27,一季度盈利48亿二季度亏损超百亿元 三大航上半年业绩“大逆转”,中国国航（601111.SH）、南方航空（600029.SH）、中国东航（600115.SH）近期披露上半年业绩预告：受航油价格持续高位运行挤压盈利空间，三大航一季度整体盈利过后，二季度全线陷入亏损，上半年合计净亏损规模逼近百亿元。,中国经营报,http://finance.eastmoney.com/a/202607223817251078.html,financial_results_or_guidance,latest_public_news_window,eastmoney_news_discovery,https://so.eastmoney.com/news/s,"Latest public Eastmoney news window retrieved through AkShare. Category is keyword-based discovery metadata, not sentiment or a trade signal.",2026-08-07T15:09:47.202811+00:00,mentioned_in_body
airline_news_events,0753.HK / 601111.SH,Air China,CN_A/HK,601111,2026-07-22 12:24:00,国泰航空：预计2026年上半年股东溢利达60亿港元-65亿港元,7月22日，国泰航空（00293）发布公告，公司预计2026年上半年录得股东应占综合溢利约60亿港元至65亿港元，其中包括约14亿港元来自公司所持中国国际航空股份有限公司（601111/00753）权益摊薄而产生的视作出售联属公司收益，而公司2025年同期溢利为37亿港元。,财中社,http://finance.eastmoney.com/a/202607223817043465.html,financial_results_or_guidance,latest_public_news_window,eastmoney_news_discovery,https://so.eastmoney.com/news/s,"Latest public Eastmoney news window retrieved through AkShare. Category is keyword-based discovery metadata, not sentiment or a trade signal.",2026-08-07T15:09:47.202811+00:00,broad_market_or_noise
airline_news_events,0293.HK,Cathay Pacific,HK,00293,2026-07-22 12:24:00,国泰航空：预计2026年上半年股东溢利达60亿港元-65亿港元,7月22日，国泰航空（00293）发布公告，公司预计2026年上半年录得股东应占综合溢利约60亿港元至65亿港元，其中包括约14亿港元来自公司所持中国国际航空股份有限公司（601111/00753）权益摊薄而产生的视作出售联属公司收益，而公司2025年同期溢利为37亿港元。,财中社,http://finance.eastmoney.com/a/202607223817043465.html,financial_results_or_guidance,latest_public_news_window,eastmoney_news_discovery,https://so.eastmoney.com/news/s,"Latest public Eastmoney news window retrieved through AkShare. Category is keyword-based discovery metadata, not sentiment or a trade signal.",2026-08-07T15:09:47.202811+00:00,direct_headline
airline_news_events,600221.SH,Hainan Airlines Holdings,CN_A,600221,2026-07-17 18:50:00,海航控股：拟向空客公司购买40架飞机 交易总金额不超过53.6亿美元,人民财讯7月17日电，海航控股6002217月17日公告，公司与AIRBUSS.A.S.（空中客车公司，简称“空客公司”）于7月17日签订《飞机购买协议》，向空客公司购买40架A320NEO系列飞机，交易总金额不超过53.6亿美元。,证券时报网,http://finance.eastmoney.com/a/202607173811173844.html,fleet_or_capex,latest_public_news_window,eastmoney_news_discovery,https://so.eastmoney.com/news/s,"Latest public Eastmoney news window retrieved through AkShare. Category is keyword-based discovery metadata, not sentiment or a trade signal.",2026-08-07T05:16:59.080478+00:00,direct_headline
airline_news_events,0753.HK / 601111.SH,Air China,CN_A/HK,601111,2026-07-17 18:40:00,中国国航：拟约124.4亿美元购买飞机,人民财讯7月17日电，中国国航6011117月17日公告，公司作为买方，公司全资子公司国航进出口公司作为进口代理机构，于2026年7月17日与空中客车公司签订飞机购置协议，公司向空客公司购买15架空客A350-900飞机；公司控股子公司深圳航空有限责任公司与空客公司签订飞机购置协议,证券时报网,http://finance.eastmoney.com/a/202607173811169785.html,fleet_or_capex,latest_public_news_window,eastmoney_news_discovery,https://so.eastmoney.com/news/s,"Latest public Eastmoney news window retrieved through AkShare. Category is keyword-based discovery metadata, not sentiment or a trade signal.",2026-08-07T15:09:47.202811+00:00,direct_headline
airline_news_events,0753.HK / 601111.SH,Air China,CN_A/HK,601111,2026-07-17 18:01:24,845亿元！中国国航及其控股子公司拟购买55架飞机,【大河财立方消息】7月17日，中国国航（601111.SH）发布公告，宣布公司及其控股子公司深圳航空拟向空中客车公司购买55架空客飞机，交易总价约为124.4亿美元。,大河财立方,http://finance.eastmoney.com/a/202607173811153510.html,fleet_or_capex,latest_public_news_window,eastmoney_news_discovery,https://so.eastmoney.com/news/s,"Latest public Eastmoney news window retrieved through AkShare. Category is keyword-based discovery metadata, not sentiment or a trade signal.",2026-08-07T15:09:47.202811+00:00,direct_headline
airline_news_events,0753.HK / 601111.SH,Air China,CN_A/HK,601111,2026-07-17 17:50:00,中国国航：拟斥资124.4亿美元购买15架A350-900及40架A320NEO,7月17日，中国国航（601111/00753）发布公告，公司作为买方，全资子公司国航进出口公司作为进口代理机构，与空客公司签订飞机购置协议，购买15架空客A350-900飞机；控股子公司深圳航空有限责任公司与空客公司签订飞机购置协议，购买40架A320NEO系列飞机。,财中社,http://finance.eastmoney.com/a/202607173811135184.html,fleet_or_capex,latest_public_news_window,eastmoney_news_discovery,https://so.eastmoney.com/news/s,"Latest public Eastmoney news window retrieved through AkShare. Category is keyword-based discovery metadata, not sentiment or a trade signal.",2026-08-07T15:09:47.202811+00:00,direct_headline
airline_news_events,0753.HK / 601111.SH,Air China,CN_A/HK,601111,2026-07-17 17:25:01,中国国航：公司及控股子公司拟向空客公司合计购买55架飞机 目录价格约124.4亿美元,中国国航601111.SH)公告称，公司作为买方，国航进出口公司作为公司的进口代理机构与空客公司签订协议，向空客公司购买15架空客A350-900飞机；同日，深圳航空与空客公司签订协议，向空客公司购买40架A320NEO系列飞机，本次交易按照空客公司公布的有效目录价格合计约为124.4,财联社,http://finance.eastmoney.com/a/202607173811116163.html,fleet_or_capex,latest_public_news_window,eastmoney_news_discovery,https://so.eastmoney.com/news/s,"Latest public Eastmoney news window retrieved through AkShare. Category is keyword-based discovery metadata, not sentiment or a trade signal.",2026-08-07T15:09:47.202811+00:00,direct_headline
airline_news_events,01055.HK / 600029.SH,China Southern Airlines,CN_A/HK,600029,2026-07-15 17:33:00,南方航空：6月客运运力同比降1.18% 货运载运率小幅提升,7月15日，南方航空（600029/01055）发布公告，2026年6月本集团客运运力投入同比下降1.18%，其中国内和地区分别下降3.99%和5.76%，国际上升6.84%。旅客周转量同比下降2.48%，国内和地区分别下降5.51%和9.63%，国际上升6.39%。,财中社,http://finance.eastmoney.com/a/202607153807544890.html,operating_update,latest_public_news_window,eastmoney_news_discovery,https://so.eastmoney.com/news/s,"Latest public Eastmoney news window retrieved through AkShare. Category is keyword-based discovery metadata, not sentiment or a trade signal.",2026-08-07T15:09:47.202811+00:00,direct_headline
airline_news_events,01055.HK / 600029.SH,China Southern Airlines,CN_A/HK,600029,2026-07-15 17:25:00,南方航空：6月客运运力投入同比下降1.18%,人民财讯7月15日电，南方航空6000297月15日公告，6月集团客运运力投入（按可利用座公里计）同比下降1.18%；旅客周转量（按收入客公里计）同比下降2.48%；客座率为84.03%，同比下降1.13个百分点。,证券时报网,http://finance.eastmoney.com/a/202607153807540848.html,operating_update,latest_public_news_window,eastmoney_news_discovery,https://so.eastmoney.com/news/s,"Latest public Eastmoney news window retrieved through AkShare. Category is keyword-based discovery metadata, not sentiment or a trade signal.",2026-08-07T15:09:47.202811+00:00,direct_headline
