dataset_id,company,target_year,ask_mn,operating_cost_actual_native_mn,cask_prior,cask_anchor,shrink_lambda,fuel_price_usd_per_gallon,fuel_price_ratio,cost_flat_ask_native_mn,cost_fuel_mechanical_native_mn,cost_nonfuel_drivers_native_mn,cost_company_shrink_native_mn,cost_full_cask_native_mn,error_flat_ask_pct,error_fuel_mechanical_pct,error_nonfuel_drivers_pct,error_company_shrink_pct,error_full_cask_pct,retrieved_at,revenue_error_pct,ebit_error_contribution_revenue_pct,ebit_error_contribution_cost_pct,ebit_error_directional_pct
airline_cost_engine_v2,Air China,2020,156062.30000000002,85825.009,0.4572599027111837,0.4424076277409805,0.873142822973389,1.100358552631579,0.5858333675452281,71361.03211488358,63547.43382041822,50817.948933378786,69774.2963615602,68754.99457505503,-16.85286963979977,-25.95697389275169,-40.788880158021556,-18.70167312005735,-19.88932436342067,2026-08-10T20:59:51.131613+00:00,5.138436488402109,5.138436488402109,-19.88932436342067,25.02776085182278
airline_cost_engine_v2,Air China,2021,152349.5,99341.31,0.5499406903525066,0.4424076277409805,0.7055493515595818,1.8565493421052635,1.6872221674155259,83783.1892048592,91197.83257985991,64458.564964344514,78213.44780786545,78093.04106637221,-15.661280080905716,-8.197473357397932,-35.11403769051916,-21.26795206559542,-21.389157173010688,2026-08-10T20:59:51.131613+00:00,-4.108067393306857,-4.108067393306857,-21.389157173010688,17.28108977970383
airline_cost_engine_v2,Air China,2022,96196.1,101876.53,0.6520619365340877,0.4424076277409805,0.5208848208813344,3.3740996677740864,1.81740371303462,62725.81525302676,72121.28326573587,46353.67462916071,56798.250504257216,54881.67416546719,-38.42957229400456,-29.20716551129503,-54.50014382197674,-44.24795337625142,-46.12922705016829,2026-08-10T20:59:51.131613+00:00,-9.909768349793236,-9.909768349793236,-46.12922705016829,36.21945870037506
airline_cost_engine_v2,Air China,2023,292513.8,152623.655,1.0590505228382439,0.4424076277409805,0.5,2.6995548172757475,0.800081527839591,309786.89282740146,297087.7314577523,207768.08305932468,225102.1425225164,258777.48794336308,102.9743638542803,94.65379167977093,36.1309837975802,47.488371001543904,69.55267382593024,2026-08-10T20:59:51.131613+00:00,10.812417003698416,10.812417003698416,69.55267382593024,-58.74025682223183
airline_cost_engine_v2,Air China,2024,356112.8,178184.958,0.5217656568681546,0.4424076277409805,0.7564979007574683,2.337798013245033,0.8659939032481729,185807.42901115774,177516.13829102443,171391.41138091832,180169.99837536304,182297.0984554771,4.27784202253354,-0.37535138570764515,-3.812637551078635,1.1140336410231821,2.30779326248014,2026-08-10T20:59:51.131613+00:00,3.376580780917937,3.376580780917937,2.30779326248014,1.068787518437797
airline_cost_engine_v2,Air China,2025,367637.00000000006,181137.203,0.5003610035921203,0.4424076277409805,0.79520365885722,2.1148900000000004,0.9046504394382558,183951.21827759637,178676.94357654225,163987.67140442308,179587.86731979722,179862.7569217381,1.5535269569092236,-1.3582297742875893,-9.467702554497837,-0.8553381936690196,-0.7035805219217761,2026-08-10T20:59:51.131613+00:00,0.8732475908586057,0.8732475908586057,-0.7035805219217761,1.5768281127803818
airline_cost_engine_v2,China Eastern Airlines,2020,152070.93,80498.0,0.4594701237631457,0.43263110160548734,0.8503706098649696,1.100358552631579,0.5858333675452281,69872.04902787667,62161.03264945573,48471.79990729116,67756.61555998154,66669.94280322574,-13.200267052750792,-22.77940737725691,-39.78508794343815,-15.828200004991999,-17.17813758947335,2026-08-10T20:59:51.131613+00:00,14.361432323467028,14.361432323467028,-17.17813758947335,31.53956991294038
airline_cost_engine_v2,China Eastern Airlines,2021,160691.81,90479.0,0.5293450891633267,0.43263110160548734,0.7211612855406184,1.8565493421052635,1.6872221674155259,85061.42049226635,92981.97019661248,67809.62020640307,79973.42910760544,80250.95067844623,-5.987665102105078,2.7663548410266303,-25.054852279089,-11.611059906049537,-11.30433506289169,2026-08-10T20:59:51.131613+00:00,-0.3402810287527869,-0.3402810287527869,-11.30433506289169,10.964054034138904
airline_cost_engine_v2,China Eastern Airlines,2022,96179.65,89507.0,0.5630591876462154,0.43263110160548734,0.6588188448648995,3.3740996677740864,1.81740371303462,54154.83559709732,63668.68981512497,45285.8980715771,52568.25198762989,51128.92124731929,-39.49653591663521,-28.86736253575143,-49.40518834104919,-41.26911639577923,-42.87718139662899,2026-08-10T20:59:51.131613+00:00,-9.660124082639364,-9.660124082639364,-42.87718139662899,33.21705731398963
airline_cost_engine_v2,China Eastern Airlines,2023,244974.74,127507.0,0.9306230579961562,0.43263110160548734,0.5,2.6995548172757475,0.800081527839591,227979.1416706133,217207.9852105391,156726.4002034845,171649.39107786625,192352.7709370489,78.79735361243954,70.34985154582816,22.915918501325017,34.619582515364854,50.85663605688229,2026-08-10T20:59:51.131613+00:00,1.9258833773583284,1.9258833773583284,50.85663605688229,-48.93075267952396
