statement_period,period,target_year,regime,ask_growth_pct,rpk_growth_pct,rpk_minus_ask_growth_gap_pp,load_factor_change_pp,revenue_per_rpk_actual_growth_pct,revenue_error_flat_ask_pct,revenue_error_flat_rpk_pct,revenue_error_spring_recovery_case_pct,kpi_assumption_used,kpi_pit_safe
FY2017,FY,2017,pre_covid,23.68473898842994,22.16961210641435,-1.5151268820155934,-1.1231371219405588,6.529503380105638,-4.9651224429125165,-6.129291109907697,-6.129291109907697,False,True
FY2018,FY,2018,pre_covid,16.661806329858535,14.661346233695596,-2.0004600961629393,-1.5529167320247268,4.253232828281696,-2.4062223453240676,-4.079713130131239,-4.079713130131239,False,True
FY2019,FY,2019,pre_covid,12.16758767432637,14.4406151089958,2.27302743466943,1.8037344943122662,-1.3611094121917091,-0.6337231895911088,1.3798912417613423,1.3798912417613423,False,True
FY2020,FY,2020,covid_disruption_or_restriction,-13.418662168031574,-24.042847329639798,-10.624185161608224,-11.143444530790845,-16.643161001207545,36.745920328113925,19.966161386528412,19.966161386528412,False,True
FY2021,FY,2021,covid_disruption_or_restriction,9.618160379109824,14.021731518791569,4.403571139681745,3.2004791939775856,1.5995252717925297,-5.375586890912885,-1.574343253586676,-1.574343253586676,False,True
FY2022,FY,2022,covid_disruption_or_restriction,-26.825471401992587,-34.0818055638439,-7.2563341618513135,-8.217788585918555,16.92634744598176,-5.061525984070229,-14.47607644957995,-14.47607644957995,False,True
FY2023,FY,2023,post_reopening_recovery,56.37865948784446,87.25572218765663,30.87706269981217,14.740135873910717,14.462611135962376,-27.04102242926423,-12.635227339679716,-3.8987500736476903,False,True
FY2024,FY,2024,post_recovery_normalization,16.067234454033056,18.789408206462042,2.7221737524289864,2.0965576578909264,-6.140091192225086,4.100254179738386,6.54176130172894,6.54176130172894,False,True
FY2025,FY,2025,post_recovery_normalization,12.080420052186128,12.131170982187427,0.05075093000129982,0.04142694828934168,-4.310240522796306,4.457091566797175,4.504390591370594,4.504390591370594,False,True
1H2017,H1,2017,pre_covid,30.730484987632565,29.117273703535005,-1.6132112840975594,-1.1471275313244007,-0.7701360410797378,2.0352255881066696,0.7761131683084415,0.7761131683084415,False,True
1H2018,H1,2018,pre_covid,18.300479923505335,15.076027483172354,-3.224452440332982,-2.5025010503177754,8.633399870413683,-5.367944507862418,-7.947279456145409,-7.947279456145409,False,True
1H2019,H1,2019,pre_covid,9.271253324329393,12.199205536297598,2.927952211968204,2.393102022941619,0.6276235700327959,-3.2170342594041017,-0.6237090251823361,-0.6237090251823361,False,True
1H2020,H1,2020,covid_disruption_or_restriction,-24.006091625373458,-38.792989822575784,-14.786898197202326,-17.843716455184648,-7.552053994129707,34.3013408551069,8.168979756078286,8.168979756078286,False,True
1H2021,H1,2021,covid_disruption_or_restriction,36.50445797000319,53.86943985954255,17.364981889539365,9.39586776895976,-12.378252992509317,1.2470910123966377,14.12691873337235,14.12691873337235,False,True
1H2022,H1,2022,covid_disruption_or_restriction,-31.72025699655967,-40.45229392042616,-8.732036923866488,-10.647278645045716,12.49839574185114,1.9249512504402588,-11.10984353104115,-11.10984353104115,False,True
1H2023,H1,2023,post_reopening_recovery,49.648367277550676,81.26807946569116,31.619712188140483,15.341718939306233,21.250936026289423,-31.91278827483336,-17.526409875864246,-9.279050863450664,False,True
1H2024,H1,2024,post_recovery_normalization,21.464132229686413,26.097948608934132,4.633816379247719,3.3552757003908624,-2.4790418368463634,-1.2261298216073158,2.5420605821969957,2.5420605821969957,False,True
1H2025,H1,2025,post_recovery_normalization,9.455796975479629,8.511389034567443,-0.9444079409121855,-0.7878041700206637,-3.83687025920068,4.895016395908655,3.989959841721756,3.989959841721756,False,True
2H2017,H2,2017,pre_covid,17.785218853382048,16.201842606997104,-1.583376246384944,-1.2181674138014955,13.538814751564473,-10.724267489464083,-11.924393240486864,-11.924393240486864,False,True
2H2018,H2,2018,pre_covid,15.138917365857083,14.265561430522752,-0.873355935334331,-0.6781175771745609,0.506137112394228,0.2568839246254271,-0.5035882652899346,-0.5035882652899346,False,True
2H2019,H2,2019,pre_covid,14.933184346949758,16.595060260343047,1.6618759133932883,1.282868783271283,-3.200129051314576,1.83346231309298,3.305922848813495,3.305922848813495,False,True
2H2020,H2,2020,covid_disruption_or_restriction,-3.807162313488007,-10.399527311011227,-6.5923649975232195,-6.168254772017576,-22.319497216371587,38.20393478217912,28.73243145521394,28.73243145521394,False,True
2H2021,H2,2021,covid_disruption_or_restriction,-9.664532297252336,-11.156085049539499,-1.4915527522871628,-1.3842409084551264,14.172788407607001,-10.943012176404707,-12.413455609938254,-12.413455609938254,False,True
2H2022,H2,2022,covid_disruption_or_restriction,-21.520795086751434,-27.11053198209106,-5.589736895339627,-5.872696019856235,19.707968193367194,-10.057127320819703,-16.46337206353084,-16.46337206353084,False,True
2H2023,H2,2023,post_reopening_recovery,62.724606179088795,92.60870112149706,29.884094942408268,14.063642372379505,9.088376770148528,-22.55402581355709,-8.331205431077166,0.8356740258151234,False,True
2H2024,H2,2024,post_recovery_normalization,11.387454370395943,12.640248979471963,1.2527946090760196,1.019476469418123,-9.274277043713695,8.996421426102245,10.222323660272423,10.222323660272423,False,True
2H2025,H2,2025,post_recovery_normalization,14.562181128237071,15.54060206521261,0.9784209369755388,0.7828443042328814,-4.643576510909369,3.9816473425076992,4.869704987877029,4.869704987877029,False,True
