dataset_id,release_id,source_organization,release_family,release_title,reference_period,source_url,metric,metric_cn,value,unit,yoy_pct,scope,source_release_date,source_release_date_status,point_in_time_status,source_quality,source_note,raw_snapshot_path,retrieved_at
airline_nbs_demand,202512_20251215,National Bureau of Statistics,monthly_economy,2025年11月份社会消费品零售总额增长1.3%,2025-11,https://www.stats.gov.cn/sj/zxfb/202512/t20251215_1962071.html,retail_sales_consumer_goods,社会消费品零售总额,43898.0,亿元,1.3,month_11,2025-12-15,official_page_date,release_date_safe_observation,nbs_primary_official_release,"NBS monthly national-economy press release; aggregate macro demand regime context, not airline RPK/revenue.  Chinese-source labels retained; values as published.",/Users/henrywzh/Desktop/Quant/alternative-data/data/raw/hk_transport/airline_nbs_202512_20251215_20260810_120151.html,2026-08-10T12:00:20.084559+00:00
airline_nbs_demand,202512_20251231,National Bureau of Statistics,pmi,2025年12月中国采购经理指数运行情况,2025-12,https://www.stats.gov.cn/sj/zxfb/202512/t20251231_1962218.html,manufacturing_pmi,制造业采购经理指数,50.1,pct,,national,2025-12-31,official_page_date,release_date_safe_observation,nbs_primary_official_release,"NBS monthly national-economy press release; aggregate macro demand regime context, not airline RPK/revenue.  Chinese-source labels retained; values as published.",/Users/henrywzh/Desktop/Quant/alternative-data/data/raw/hk_transport/airline_nbs_202512_20251231_20260810_120200.html,2026-08-10T12:00:20.084559+00:00
airline_nbs_demand,202512_20251231,National Bureau of Statistics,pmi,2025年12月中国采购经理指数运行情况,2025-12,https://www.stats.gov.cn/sj/zxfb/202512/t20251231_1962218.html,non_manufacturing_pmi,非制造业商务活动指数,50.2,pct,,national,2025-12-31,official_page_date,release_date_safe_observation,nbs_primary_official_release,"NBS monthly national-economy press release; aggregate macro demand regime context, not airline RPK/revenue.  Chinese-source labels retained; values as published.",/Users/henrywzh/Desktop/Quant/alternative-data/data/raw/hk_transport/airline_nbs_202512_20251231_20260810_120200.html,2026-08-10T12:00:20.084559+00:00
airline_nbs_demand,202512_20251231,National Bureau of Statistics,pmi,2025年12月中国采购经理指数运行情况,2025-12,https://www.stats.gov.cn/sj/zxfb/202512/t20251231_1962218.html,services_business_activity_index,服务业商务活动指数,49.7,pct,,national,2025-12-31,official_page_date,release_date_safe_observation,nbs_primary_official_release,"NBS monthly national-economy press release; aggregate macro demand regime context, not airline RPK/revenue.  Chinese-source labels retained; values as published.",/Users/henrywzh/Desktop/Quant/alternative-data/data/raw/hk_transport/airline_nbs_202512_20251231_20260810_120200.html,2026-08-10T12:00:20.084559+00:00
airline_nbs_demand,202601_20260119,National Bureau of Statistics,monthly_economy,2025年12月份社会消费品零售总额增长0.9%,2025-12,https://www.stats.gov.cn/sj/zxfb/202601/t20260119_1962323.html,retail_sales_consumer_goods,社会消费品零售总额,45136.0,亿元,0.9,month_12,2026-01-19,official_page_date,release_date_safe_observation,nbs_primary_official_release,"NBS monthly national-economy press release; aggregate macro demand regime context, not airline RPK/revenue.  Chinese-source labels retained; values as published.",/Users/henrywzh/Desktop/Quant/alternative-data/data/raw/hk_transport/airline_nbs_202601_20260119_20260810_120207.html,2026-08-10T12:00:20.084559+00:00
airline_nbs_demand,202601_20260131,National Bureau of Statistics,pmi,2026年1月中国采购经理指数运行情况,2026-01,https://www.stats.gov.cn/sj/zxfb/202601/t20260131_1962416.html,manufacturing_pmi,制造业采购经理指数,49.3,pct,,national,2026-01-31,official_page_date,release_date_safe_observation,nbs_primary_official_release,"NBS monthly national-economy press release; aggregate macro demand regime context, not airline RPK/revenue.  Chinese-source labels retained; values as published.",/Users/henrywzh/Desktop/Quant/alternative-data/data/raw/hk_transport/airline_nbs_202601_20260131_20260810_120214.html,2026-08-10T12:00:20.084559+00:00
airline_nbs_demand,202601_20260131,National Bureau of Statistics,pmi,2026年1月中国采购经理指数运行情况,2026-01,https://www.stats.gov.cn/sj/zxfb/202601/t20260131_1962416.html,non_manufacturing_pmi,非制造业商务活动指数,49.4,pct,,national,2026-01-31,official_page_date,release_date_safe_observation,nbs_primary_official_release,"NBS monthly national-economy press release; aggregate macro demand regime context, not airline RPK/revenue.  Chinese-source labels retained; values as published.",/Users/henrywzh/Desktop/Quant/alternative-data/data/raw/hk_transport/airline_nbs_202601_20260131_20260810_120214.html,2026-08-10T12:00:20.084559+00:00
airline_nbs_demand,202601_20260131,National Bureau of Statistics,pmi,2026年1月中国采购经理指数运行情况,2026-01,https://www.stats.gov.cn/sj/zxfb/202601/t20260131_1962416.html,services_business_activity_index,服务业商务活动指数,49.5,pct,,national,2026-01-31,official_page_date,release_date_safe_observation,nbs_primary_official_release,"NBS monthly national-economy press release; aggregate macro demand regime context, not airline RPK/revenue.  Chinese-source labels retained; values as published.",/Users/henrywzh/Desktop/Quant/alternative-data/data/raw/hk_transport/airline_nbs_202601_20260131_20260810_120214.html,2026-08-10T12:00:20.084559+00:00
airline_nbs_demand,202603_20260304,National Bureau of Statistics,pmi,2026年2月中国采购经理指数运行情况,2026-02,https://www.stats.gov.cn/sj/zxfb/202603/t20260304_1962699.html,manufacturing_pmi,制造业采购经理指数,49.0,pct,,national,2026-03-04,official_page_date,release_date_safe_observation,nbs_primary_official_release,"NBS monthly national-economy press release; aggregate macro demand regime context, not airline RPK/revenue.  Chinese-source labels retained; values as published.",/Users/henrywzh/Desktop/Quant/alternative-data/data/raw/hk_transport/airline_nbs_202603_20260304_20260810_120222.html,2026-08-10T12:00:20.084559+00:00
airline_nbs_demand,202603_20260304,National Bureau of Statistics,pmi,2026年2月中国采购经理指数运行情况,2026-02,https://www.stats.gov.cn/sj/zxfb/202603/t20260304_1962699.html,non_manufacturing_pmi,非制造业商务活动指数,49.5,pct,,national,2026-03-04,official_page_date,release_date_safe_observation,nbs_primary_official_release,"NBS monthly national-economy press release; aggregate macro demand regime context, not airline RPK/revenue.  Chinese-source labels retained; values as published.",/Users/henrywzh/Desktop/Quant/alternative-data/data/raw/hk_transport/airline_nbs_202603_20260304_20260810_120222.html,2026-08-10T12:00:20.084559+00:00
