dataset_id,company,target_year,ask_mn,operating_cost_actual_native_mn,cask_prior,cask_anchor,shrink_lambda,fuel_price_usd_per_gallon,fuel_price_ratio,cost_flat_ask_native_mn,cost_fuel_mechanical_native_mn,cost_nonfuel_drivers_native_mn,cost_company_shrink_native_mn,cost_full_cask_native_mn,error_flat_ask_pct,error_fuel_mechanical_pct,error_nonfuel_drivers_pct,error_company_shrink_pct,error_full_cask_pct,retrieved_at
airline_cost_engine_v2,Air China,2018,273546.9,131802.018,0.45091209410291,0.4424076277409805,0.8846214833042461,2.025996677740864,1.3002088845395585,123345.60551435933,134523.52489273663,132197.15448327654,123077.19234723093,134255.1117256082,-6.415996214595654,2.0648446313899615,0.2997954729923258,-6.6196449683866625,1.8611958775989201,2026-08-10T19:01:09.313737+00:00
airline_cost_engine_v2,Air China,2019,287062.8,131262.308,0.48182603421936054,0.4424076277409805,0.8287202046137259,1.878279069767442,0.9270889189521584,138314.33049590545,135465.43781950918,124149.87968428727,136376.20401382312,133527.31133742686,5.372465716438168,3.2020843481658012,-5.418484882737795,3.895936382455756,1.7255550141834108,2026-08-10T19:01:09.313737+00:00
airline_cost_engine_v2,Air China,2020,156062.30000000002,85825.009,0.4572599027111837,0.4424076277409805,0.873142822973389,1.100358552631579,0.5858333675452281,71361.03211488358,62563.13772157179,60245.25752948945,71066.99237703011,62269.097983718326,-16.85286963979977,-27.103837855033863,-29.804542718440675,-17.195473434753605,-27.446441649987683,2026-08-10T19:01:09.313737+00:00
airline_cost_engine_v2,Air China,2021,152349.5,99341.31,0.5499406903525066,0.4424076277409805,0.7055493515595818,1.8565493421052635,1.6872221674155259,83783.1892048592,98034.1395790375,81651.53125670279,78959.31956120236,93210.26993538064,-15.661280080905716,-1.3158377123902443,-17.807072146821113,-20.517134753706834,-6.171692385191374,2026-08-10T19:01:09.313737+00:00
airline_cost_engine_v2,Air China,2022,96196.1,101876.53,0.6520619365340877,0.4424076277409805,0.5208848208813344,3.3740996677740864,1.81740371303462,62725.81525302676,73428.67183472474,53260.74498063212,53063.055365876025,63765.911947574,-38.42957229400456,-27.923858581829652,-47.720299287154646,-47.91434752844839,-37.408633816273486,2026-08-10T19:01:09.313737+00:00
airline_cost_engine_v2,Air China,2023,292513.8,152623.655,1.0590505228382439,0.4424076277409805,0.5,2.6995548172757475,0.800081527839591,309786.89282740146,301827.0421906313,121450.4857027295,219598.61458345054,211638.76394668044,102.9743638542803,97.75901854180556,-20.42486094129413,43.88242411273047,38.66707880025573,2026-08-10T19:01:09.313737+00:00
airline_cost_engine_v2,Air China,2024,356112.8,178184.958,0.5217656568681546,0.4424076277409805,0.7564979007574683,2.337798013245033,0.8659939032481729,185807.42901115774,179311.85140003212,151051.4414450726,178925.9598616706,172430.38225054494,4.27784202253354,0.6324290291844337,-15.227725650628388,0.41586106368787235,-3.229551929661245,2026-08-10T19:01:09.313737+00:00
airline_cost_engine_v2,Air China,2025,367637.00000000006,181137.203,0.5003610035921203,0.4424076277409805,0.79520365885722,2.1148900000000004,0.9046504394382558,183951.21827759637,179179.84335156967,157874.0381137842,179587.86731979722,174816.49239377055,1.5535269569092236,-1.080595049505284,-12.842842056148907,-0.8553381936690196,-3.489460200083505,2026-08-10T19:01:09.313737+00:00
airline_cost_engine_v2,China Eastern Airlines,2018,244268.34,118075.0,0.447928628869911,0.43263110160548734,0.8717125704413672,2.025996677740864,1.3002088845395585,109414.78261252923,119523.79441008471,115787.0928190992,108935.41077039407,119044.42256794951,-7.334505515537382,1.2270119924494782,-1.9376728188869818,-7.740494795346963,0.8210227126398628,2026-08-10T19:01:09.313737+00:00
airline_cost_engine_v2,China Eastern Airlines,2019,270161.20000000007,124131.0,0.48338233272474035,0.43263110160548734,0.8061533376940937,1.878279069767442,0.9270889189521584,130591.15106771515,127875.74680318497,114164.73330253025,127933.316863782,125217.91259925184,5.2043011558073005,3.0167700277811127,-8.028829782624602,3.0631484993933977,0.87561737136721,2026-08-10T19:01:09.313737+00:00
airline_cost_engine_v2,China Eastern Airlines,2020,152070.93,80498.0,0.4594701237631457,0.43263110160548734,0.8503706098649696,1.100358552631579,0.5858333675452281,69872.04902787667,61189.65901935795,57108.22395955224,69261.3463890022,60578.95638048348,-13.200267052750792,-23.986112674404403,-29.056344307247084,-13.958922719816403,-24.744768341469992,2026-08-10T19:01:09.313737+00:00
airline_cost_engine_v2,China Eastern Airlines,2021,160691.81,90479.0,0.5293450891633267,0.43263110160548734,0.7211612855406184,1.8565493421052635,1.6872221674155259,85061.42049226635,100284.72322769136,84743.57751470468,80727.94740043122,95951.25013585623,-5.987665102105078,10.83756808507097,-6.338954326744684,-10.7771445302985,6.048088656877537,2026-08-10T19:01:09.313737+00:00
airline_cost_engine_v2,China Eastern Airlines,2022,96179.65,89507.0,0.5630591876462154,0.43263110160548734,0.6588188448648995,3.3740996677740864,1.81740371303462,54154.83559709732,64992.55194044441,52448.0242748773,49874.87915753491,60712.595500881995,-39.49653591663521,-27.388302657396167,-41.40343853008446,-44.27823616305439,-32.17000290381535,2026-08-10T19:01:09.313737+00:00
airline_cost_engine_v2,China Eastern Airlines,2023,244974.74,127507.0,0.9306230579961562,0.43263110160548734,0.5,2.6995548172757475,0.800081527839591,227979.1416706133,221227.76698437758,99232.31694548216,166981.41665116555,160230.04196492984,78.79735361243954,73.5024484807717,-22.175004552313084,30.958627095897118,25.663721964229282,2026-08-10T19:01:09.313737+00:00
airline_cost_engine_v2,China Eastern Airlines,2024,296909.20000000007,142681.0,0.5204903983161693,0.43263110160548734,0.7375349411826613,2.337798013245033,0.8659939032481729,154538.3877717352,149053.519599775,122967.28610084378,147691.6629621154,142206.79479015517,8.310418185837776,4.466270631531177,-13.816635641154907,3.511794115625344,-0.33235343868127654,2026-08-10T19:01:09.313737+00:00
airline_cost_engine_v2,China Eastern Airlines,2025,316928.36000000004,147366.0,0.4805543243523608,0.43263110160548734,0.8113827506732066,2.1148900000000004,0.9046504394382558,152301.2939079018,148135.49999859586,132947.27160751456,149436.5320466289,145270.73813732297,3.3490044568637245,0.5221692918284004,-9.784297865508629,1.4050269713698604,-1.4218081936654525,2026-08-10T19:01:09.313737+00:00
airline_cost_engine_v2,China Southern Airlines,2018,314294.68,145036.0,0.4419636293718439,0.4238290796537817,0.8657700698916158,2.025996677740864,1.3002088845395585,138906.81746506228,151732.03630625608,146032.44380567363,138141.7615620628,150966.9804032566,-4.225973230741142,4.616809830839297,0.687032051127745,-4.7534670274533175,4.089316034127122,2026-08-10T19:01:09.313737+00:00
