dataset_id,company,ticker,period,target_year,row_status,ask_native_mn,target_revenue_native_mn,lf_prior,lf_normal,lf_shrink_lambda,yield_prior,yield_normal,yield_pressure_score,yield_modifier_delta_pct,recovery_overlay_active,revenue_base_decomposition_native_mn,revenue_dynamic_shrinkage_native_mn,revenue_residual_yield_native_mn,revenue_recovery_overlay_native_mn,error_base_decomposition_pct,error_dynamic_shrinkage_pct,error_residual_yield_pct,error_recovery_overlay_pct,retrieved_at
airline_earnings_model_v4,Air China,601111.SH,FY,2020,historical_evaluated,156062.30000000002,69503.749,0.8105264771332267,0.8105264771332267,0.9,0.5852904088158438,0.6035682034179167,-2.1298699309715197,-3.0,False,74034.92091969773,74266.12154379282,72038.13789747904,72038.13789747904,6.519320158827302,6.85196498363394,3.6464060341249382,3.6464060341249382,2026-08-10T21:05:59.950266+00:00
airline_earnings_model_v4,Air China,601111.SH,FY,2021,historical_evaluated,152349.5,74531.67,0.7037727881749787,0.8082330766455679,0.5,0.6328164457846682,0.6119831765621192,0.431013616338858,0.646520424508287,False,67850.22012539541,71685.93688235163,72149.40110579615,72149.40110579615,-8.96457824520045,-3.818152897484217,-3.196317611297117,-3.196317611297117,2026-08-10T21:05:59.950266+00:00
airline_earnings_model_v4,Air China,601111.SH,FY,2022,historical_evaluated,96196.1,52897.584,0.6857712037125162,0.8059396761579092,0.5,0.713379416885455,0.6203981497063217,-0.0142717677468246,-0.0214076516202369,False,47060.58096998677,47848.19283301517,47837.9496585869,47837.9496585869,-11.034536151997475,-9.545598844334425,-9.564963007409,-9.564963007409,2026-08-10T21:05:59.950266+00:00
airline_earnings_model_v4,Air China,601111.SH,FY,2023,historical_evaluated,292513.8,141100.234,0.6274058927544879,0.7548562321664439,0.5473874883608042,0.8764553136494682,0.626607297745495,1.852935915672301,2.7794038735084516,False,160851.3578685539,152978.5673398943,157230.4595661771,157230.4595661771,13.997938421954647,8.418365443599685,11.431749692333693,11.431749692333693,2026-08-10T21:05:59.950266+00:00
airline_earnings_model_v4,Air China,601111.SH,FY,2024,historical_evaluated,356112.8,166698.88,0.7321791313777333,0.7321791313777333,0.9,0.6588158330317851,0.6328164457846682,0.5610933214124681,0.8416399821187023,False,171778.56022654384,171100.6564658632,172540.70800034745,172540.70800034745,3.0472191694052464,2.6405555129483727,3.504419466014075,3.504419466014075,2026-08-10T21:05:59.950266+00:00
airline_earnings_model_v4,Air China,601111.SH,FY,2025,historical_evaluated,367637.00000000006,171484.646,0.7984335300500291,0.7653063307138812,0.7990350991059907,0.5862816900219602,0.626607297745495,-0.0045438588054339,-0.0068157882081508496,False,172093.43822114792,173017.48080877372,173005.68830371872,173005.68830371872,0.35501267043343,0.8938612549450609,0.8869845430469203,0.8869845430469203,2026-08-10T21:05:59.950266+00:00
airline_earnings_model_v4,Air China,601111.SH,H1,2020,historical_evaluated,65566.1,29645.766,0.8100705480000765,0.8100705480000765,0.9,0.571604117875634,0.5951839988714653,-2.1298699309715197,-3.0,False,30359.704717525834,30484.944932198952,29570.39658423298,29570.39658423298,2.408231642676517,2.830687296792922,-0.2542333221108861,-0.2542333221108861,2026-08-10T21:05:59.950266+00:00
airline_earnings_model_v4,Air China,601111.SH,H1,2021,historical_evaluated,82478.20000000001,37663.803,0.6744643954726603,0.8074184159343645,0.5,0.6703850119849848,0.5960073615114097,0.431013616338858,0.646520424508287,False,37292.5859140806,38695.57728161857,38945.75209212562,38945.75209212562,-0.9856070188116739,2.739432026071742,3.403663438144111,3.403663438144111,2026-08-10T21:05:59.950266+00:00
airline_earnings_model_v4,Air China,601111.SH,H1,2022,historical_evaluated,44282.1,23952.653,0.7060605105349049,0.8047662838686525,0.5641193603618742,0.6467598815824269,0.5968307241513539,-0.0142717677468246,-0.0214076516202369,False,20221.49235587464,20731.786701707108,20727.348513035355,20727.348513035355,-15.577233319938955,-13.446803985733402,-13.465332992402324,-13.465332992402324,2026-08-10T21:05:59.950266+00:00
airline_earnings_model_v4,Air China,601111.SH,H1,2023,historical_evaluated,128799.6,59613.193,0.6042351198339736,0.7554133972017787,0.5190271355454645,0.8951987158404592,0.6217953028668903,1.852935915672301,2.7794038735084516,False,69669.05646612967,66587.38357232505,68438.1158906022,68438.1158906022,16.868520138033325,11.699072338442008,14.80364068168971,14.80364068168971,2026-08-10T21:05:59.950266+00:00
airline_earnings_model_v4,Air China,601111.SH,H1,2024,historical_evaluated,171790.9,79520.332,0.7052452026248529,0.7060605105349049,0.8978027377330596,0.6562778237095049,0.6467598815824269,0.5610933214124681,0.8416399821187023,False,79511.14815064409,79402.6800806708,80070.96478310354,80070.96478310354,-0.011549058114979083,-0.14795199714355833,0.6924427618128393,0.6924427618128393,2026-08-10T21:05:59.950266+00:00
airline_earnings_model_v4,Air China,601111.SH,H1,2025,historical_evaluated,177576.30000000002,80757.43400000001,0.7929028836801019,0.7494816971075033,0.7800477563539778,0.5837918561669732,0.6217953028668903,-0.0045438588054339,-0.0068157882081508496,False,82198.3372305029,82371.01994161028,82365.40570734617,82365.40570734617,1.7842360252591671,1.9980648984095684,1.9911129263296967,1.9911129263296967,2026-08-10T21:05:59.950266+00:00
