date,series_id,metric,index_value,source_agency,yield_pct,yield_bp,delta_bp_1m,delta_bp_12m,ip_reval_pre_tax_hkdm,ip_reval_calibrated_hkdm,eps_impact_hkd
1997-01-01,overall,rental_yield,4.1606536,Centaline Property Agency,4.1606536,416.06536,,,,,
1997-02-01,overall,rental_yield,4.0506005,Centaline Property Agency,4.0506005,405.06005,-11.005310000000009,,2698.8495481052655,1133.5168102042114,0.14957464771980425
1997-03-01,overall,rental_yield,3.898548,Centaline Property Agency,3.898548,389.8548,-15.205249999999978,,3728.807465789468,1566.0991356315765,0.2066565968829182
1997-04-01,overall,rental_yield,3.9052029,Centaline Property Agency,3.9052029,390.52029,0.665489999999977,,-163.19916347367857,-68.543648658945,-0.009044764055810244
1997-05-01,overall,rental_yield,3.9649909,Centaline Property Agency,3.9649909,396.49909,5.978800000000035,,-1466.190564210535,-615.8000369684247,-0.08125867456592957
1997-06-01,overall,rental_yield,3.6918712,Centaline Property Agency,3.6918712,369.18712,-27.31197000000003,,6697.757527263165,2813.058161450529,0.3712006559818727
1997-07-01,overall,rental_yield,3.8066804,Centaline Property Agency,3.8066804,380.66803999999996,11.48091999999997,,-2815.4841393684133,-1182.5033385347335,-0.15603872716890746
1997-08-01,overall,rental_yield,3.862747,Centaline Property Agency,3.862747,386.2747,5.6066600000000335,,-1374.9300844210609,-577.4706354568456,-0.07620086979691823
1997-09-01,overall,rental_yield,3.8483834,Centaline Property Agency,3.8483834,384.83834,-1.4363599999999792,,352.24083073683704,147.94114890947156,0.01952176185848602
1997-10-01,overall,rental_yield,3.7078998,Centaline Property Agency,3.7078998,370.78998,-14.048360000000002,,3445.101504421053,1446.9426318568421,0.19093314936525982
1997-11-01,overall,rental_yield,4.0616226,Centaline Property Agency,4.0616226,406.16225999999995,35.37227999999993,,-8674.400075368405,-3643.24803165473,-0.48074941278766925
1997-12-01,overall,rental_yield,4.050717,Centaline Property Agency,4.050717,405.07169999999996,-1.0905599999999822,,267.43975073683777,112.32469530947186,0.014821947570518865
